axis,stage,frequency_hz,input_psd,gain,phase_deg,coherence
Roll,rc_to_gyro,19.775390625,0.023116291690599807,1.0975530888844014,151.97883171336275,0.17322828964518425
Roll,rc_to_gyro,20.01953125,0.017236410922683607,1.2217701912717902,141.34505489458724,0.18669961043342317
Roll,rc_to_gyro,20.263671875,0.016302518754382565,1.296686791622107,135.15609984875863,0.1593399720914133
Roll,rc_to_gyro,20.5078125,0.016348750493758998,1.0211777428425415,120.1065004600502,0.11330897287341812
Roll,rc_to_gyro,20.751953125,0.015374689886542942,0.60757196065377,99.21844899765176,0.039216257441985876
Roll,rc_to_gyro,20.99609375,0.011893764799377995,0.08818341507715075,169.42514716414593,0.0005279902977213315
Roll,rc_to_gyro,21.240234375,0.010389882026349027,0.6312626781537578,175.25760512134494,0.023947967927520738
Roll,rc_to_gyro,21.484375,0.010001158653862592,1.0997077829794042,165.83900086533706,0.07271351926576922
Roll,rc_to_gyro,21.728515625,0.009777823024198471,0.899408327612353,120.82755481249252,0.043426291796092795
Roll,rc_to_gyro,21.97265625,0.008217299652431908,0.6863489106169092,-104.95931116118696,0.017872863646803887
Roll,rc_to_gyro,22.216796875,0.008105445319183056,1.8679923071193976,-136.3279794770157,0.10793864647550867
Roll,rc_to_gyro,22.4609375,0.009483190996383985,1.3747864500414746,154.3446782110645,0.06747418029062129
Roll,rc_to_gyro,22.705078125,0.012837452781889915,1.4668321489820788,154.4739757551741,0.10710250289067193
Roll,rc_to_gyro,22.94921875,0.016068663239647462,1.084751247019864,140.29928238373105,0.07728340461570345
Roll,rc_to_gyro,23.193359375,0.019230981637172153,1.0207532640726977,97.32888679256489,0.08069108919275698
Roll,rc_to_gyro,23.4375,0.01808449954376073,0.7220764895423497,95.76582906605816,0.041506023546000075
Roll,rc_to_gyro,23.681640625,0.013820280355252481,0.36111748743838046,89.35569022743742,0.008483976344267254
Roll,rc_to_gyro,23.92578125,0.010779863199947892,0.9864541741047754,90.96265974054104,0.05220680547344377
Roll,rc_to_gyro,24.169921875,0.01100224296268395,1.508243637775237,107.70370096568942,0.14533556111144041
Roll,rc_to_gyro,24.4140625,0.013147713267419484,1.4929595107309668,109.13011998721322,0.1620500956282235
Roll,rc_to_gyro,24.658203125,0.013507131912638698,1.1337876966763483,101.04098329793305,0.09986382222204376
Roll,rc_to_gyro,24.90234375,0.01575907382386133,0.8061918163698423,100.58149718690544,0.07660788172442173
Roll,rc_to_gyro,25.146484375,0.017432159716621556,0.6460280422022352,89.65053353555881,0.056276992352788595
Roll,rc_to_gyro,25.390625,0.016889578465071695,0.44429601045138956,70.73941386971087,0.018605655570012
Roll,rc_to_gyro,25.634765625,0.014667711630979473,0.5473677900200711,11.277878189607494,0.029911430970596134
Roll,rc_to_gyro,25.87890625,0.012987842086282364,0.39065868671135084,58.05595523791625,0.014207925115548553
Roll,rc_to_gyro,26.123046875,0.009347563979351695,0.4210325939532311,55.55818516902203,0.012468037801417113
Roll,rc_to_gyro,26.3671875,0.008911827980160153,0.3811763534535445,-5.610601268417585,0.010299578753432336
Roll,rc_to_gyro,26.611328125,0.009779344273696748,0.32162087992972876,43.7448989207443,0.007889370985685538
Roll,rc_to_gyro,26.85546875,0.012574316484644868,0.19512193119904472,-106.41408628627947,0.003643712751821583
Roll,rc_to_gyro,27.099609375,0.012139840542584292,0.3710187793651555,84.55567950171776,0.01011215356703886
Roll,rc_to_gyro,27.34375,0.010315136108001303,0.9926448339669396,51.00167076722614,0.04969053389264708
Roll,rc_to_gyro,27.587890625,0.008579409290850213,0.8580483916572571,8.300513652616091,0.030584182278313454
Roll,rc_to_gyro,27.83203125,0.007609862370285641,0.3432372546219221,-135.26417557095354,0.003862367552295588
Roll,rc_to_gyro,28.076171875,0.006815152660177857,0.9403875324334311,-103.0412810593192,0.024228760242131494
Roll,rc_to_gyro,28.3203125,0.009592568973490567,0.9565751910609008,162.88753923550072,0.03678114212071363
Roll,rc_to_gyro,28.564453125,0.01220938653390663,0.6614717341742645,157.28257076855513,0.02613654807385421
Roll,rc_to_gyro,28.80859375,0.013614326388802365,0.7691743404952441,60.73741489950364,0.03782694827933098
Roll,rc_to_gyro,29.052734375,0.014068638950337739,0.5175151850970197,-5.350337538330794,0.015695055128201102
Roll,rc_to_gyro,29.296875,0.012951640279742065,0.42233540458522706,-33.52916729167509,0.009015227417622928
Roll,rc_to_gyro,29.541015625,0.011763000339043842,0.28727351316277444,53.73342725761189,0.0034300413971610267
Roll,rc_to_gyro,29.78515625,0.011408491572346914,0.6641245032533377,58.33023289034608,0.017746217771973594
Pitch,inner,0.732421875,276.14409706724183,1.0223468159766516,-0.3092022877923201,0.9916837635226202
Pitch,inner,0.9765625,123.05247543534514,1.0248736901514977,-1.4122300564606336,0.982953899036262
Pitch,inner,1.220703125,70.49718558118106,0.9946652693746004,-2.897416079540807,0.969150897632156
Pitch,inner,1.46484375,38.33509166017085,0.9755225878407366,-0.529496125744258,0.9522746349545477
Pitch,inner,1.708984375,21.534918626111416,1.0031983409617302,3.211085164229606,0.9510159178941855
Pitch,inner,1.953125,10.478550371736262,1.0642509645708513,3.8704003087067758,0.9322152097405141
