t,epoch,px,py,pz,vx,vy,vz,yaw,pvarx,pvary,pvarz,vvarx,vvary,vvarz,yawvar
28.75791616,0,-6.486496133938667,4.242825077886016,5.072203387789777,0.56,0.8,0.16,2.274164015348611,1.5030759999999999,1.5030759999999999,4.255969,0.15288100000000002,0.15288100000000002,0.15288100000000002,0.030461741978670857
28.876037376000003,0,-6.411651847915444,4.353893652391623,5.052108881458608,0.45,1.19,0.22,2.274164015348611,1.5030759999999999,1.5030759999999999,4.2436,0.191844,0.191844,0.191844,0.030461741978670857
28.956143872000002,0,-6.419967798230131,4.4316417101200765,5.038481350812134,0.42,0.68,0.0,2.274164015348611,1.5030759999999999,1.5030759999999999,4.2394810000000005,0.16321600000000003,0.16321600000000003,0.16321600000000003,0.030461741978670857
29.058326528000002,0,-6.370071597309421,4.520496581191042,5.021098275210143,0.38,0.72,0.18,2.274164015348611,1.5030759999999999,1.5030759999999999,4.2394810000000005,0.19448100000000001,0.19448100000000001,0.19448100000000001,0.030461741978670857
29.158477824000002,0,-6.361755498131786,4.609351486312711,5.004060769843228,0.3,0.8,-0.03,2.274164015348611,1.5055290000000001,1.5055290000000001,4.2394810000000005,0.18404099999999998,0.18404099999999998,0.18404099999999998,0.030461741978670857
29.258590976,0,-6.353439387086984,4.709313258894734,4.987029753444816,0.2,0.9500000000000001,0.06,2.274164015348611,1.5055290000000001,1.5055290000000001,4.235364,0.198916,0.198916,0.198916,0.030461741978670857
29.358696704000003,0,-6.328491238959466,4.809275014670198,4.969999999999999,0.08,0.85,0.1,2.274164015348611,1.507984,1.507984,4.2394810000000005,0.19980900000000001,0.19980900000000001,0.19980900000000001,0.030461741978670857
29.456879104000002,0,-6.311859120870156,4.8981299136658745,5.009293671851609,0.06,0.85,0.25,2.274164015348611,1.5104410000000001,1.5104410000000001,4.2436,0.203401,0.203401,0.203401,0.030461741978670857
29.559017728,0,-6.303543032313124,4.975877956822877,5.050170667879719,0.19,0.51,0.15,2.274164015348611,1.5129,1.5129,4.2436,0.179776,0.179776,0.179776,0.030461741978670857
29.659132160000002,0,-6.237014805318875,5.053625948598822,5.090237560098878,0.46,0.7000000000000001,0.27,2.2759093446006062,1.5129,1.5129,4.231249,0.16892100000000002,0.16892100000000002,0.16892100000000002,0.030461741978670857
29.759231744,0,-6.187118620832764,5.13137395525354,5.130298509985806,0.53,0.6,0.37,2.2759093446006062,1.5129,1.5129,4.235364,0.174724,0.174724,0.174724,0.030461741978670857
